station,valid,metar
BNA,2023-06-01 19:53,KBNA 011953Z 07005KT 10SM SCT048TCU BKN080 BKN110 29/17 A3001 RMK AO2 SLP156 TCU OHD AND ALQDS T02890172
BNA,2023-06-01 20:53,KBNA 012053Z 10009KT 10SM SCT049TCU SCT110 BKN180 28/18 A2999 RMK AO2 SLP150 TCU NE CB DSNT SW T02830178 56021
BNA,2023-06-01 21:53,KBNA 012153Z 10007KT 10SM FEW050 SCT090 BKN200 29/18 A3000 RMK AO2 LTG DSNT SW SLP151 CB DSNT SW TCU DSNT W T02890183
BNA,2023-06-01 22:53,KBNA 012253Z 25004KT 10SM SCT050TCU SCT085 BKN130 28/18 A2998 RMK AO2 SLP146 TCU OHD AND N T02780183
BNA,2023-06-01 23:53,KBNA 012353Z 22004KT 10SM FEW048 FEW080 SCT150 27/18 A2999 RMK AO2 SLP147 TCU DSNT ALQDS T02670183 10311 20267 58003
BNA,2023-06-02 00:53,KBNA 020053Z 27003KT 10SM FEW075 SCT200 25/18 A2999 RMK AO2 SLP149 CB DSNT NW T02500183
BNA,2023-06-02 01:53,KBNA 020153Z 00000KT 10SM FEW080 SCT250 24/18 A3000 RMK AO2 SLP152 CB DSNT W T02440183
BNA,2023-06-02 02:53,KBNA 020253Z 00000KT 10SM FEW250 23/19 A3001 RMK AO2 SLP157 T02280189 53009
BNA,2023-06-02 03:53,KBNA 020353Z 00000KT 10SM SCT250 22/19 A3002 RMK AO2 SLP158 T02170194
BNA,2023-06-02 04:53,KBNA 020453Z 00000KT 10SM FEW250 21/19 A3001 RMK AO2 SLP155 T02110194
BNA,2023-06-02 05:53,KBNA 020553Z 00000KT 9SM CLR 22/19 A3000 RMK AO2 SLP153 T02170194 10267 20206 403110194 58004
BNA,2023-06-02 06:53,KBNA 020653Z 00000KT 8SM FEW090 21/19 A3000 RMK AO2 SLP152 T02060189
BNA,2023-06-02 07:53,KBNA 020753Z 00000KT 8SM SCT130 21/19 A2999 RMK AO2 SLP150 T02060189
BNA,2023-06-02 08:53,KBNA 020853Z 00000KT 10SM FEW130 21/19 A2999 RMK AO2 SLP150 T02110189 56003
BNA,2023-06-02 09:53,KBNA 020953Z 00000KT 7SM FEW040 19/18 A3000 RMK AO2 SLP152 T01940178
BNA,2023-06-02 10:53,KBNA 021053Z 00000KT 7SM FEW040 FEW130 19/18 A3001 RMK AO2 SLP156 T01940178
BNA,2023-06-02 11:53,KBNA 021153Z VRB03KT 9SM FEW130 FEW200 22/19 A3001 RMK AO2 SLP157 T02170189 10217 20189 51007
BNA,2023-06-02 12:53,KBNA 021253Z 01003KT 10SM FEW130 FEW250 24/19 A3001 RMK AO2 SLP156 T02440189
BNA,2023-06-02 13:53,KBNA 021353Z 36006KT 10SM FEW200 27/18 A3001 RMK AO2 SLP154 T02720183
BNA,2023-06-02 14:53,KBNA 021453Z 01007KT 10SM FEW130 28/18 A3000 RMK AO2 SLP151 T02830183 58006
BNA,2023-06-02 15:53,KBNA 021553Z 05008KT 10SM FEW050 SCT200 30/17 A2999 RMK AO2 SLP148 T03000167
BNA,2023-06-02 16:53,KBNA 021653Z 06007G15KT 10SM SCT055 SCT070 31/16 A2997 RMK AO2 SLP141 T03110156
