station,valid,metar
SNA,2023-06-01 20:53,KSNA 012053Z 21010KT 10SM SCT028 BKN034 OVC041 19/12 A2994 RMK AO2 SLP137 T01940117 52001
SNA,2023-06-01 21:53,KSNA 012153Z 19008KT 10SM FEW017 BKN028 OVC036 19/12 A2994 RMK AO2 SLP138 T01940117
SNA,2023-06-01 22:53,KSNA 012253Z 21007KT 10SM FEW021 SCT028 OVC038 20/12 A2994 RMK AO2 SLP138 T02000117
SNA,2023-06-01 23:53,KSNA 012353Z 20008KT 10SM FEW024 SCT029 OVC040 19/12 A2995 RMK AO2 SLP141 T01940122 10200 20183 53004
SNA,2023-06-02 00:53,KSNA 020053Z 19008KT 10SM FEW023 BKN030 OVC039 19/12 A2995 RMK AO2 SLP141 T01890122
SNA,2023-06-02 01:53,KSNA 020153Z 20005KT 10SM FEW023 SCT029 BKN039 18/13 A2995 RMK AO2 SLP143 T01830128
SNA,2023-06-02 02:53,KSNA 020253Z 23004KT 10SM FEW024 BKN033 BKN043 18/13 A2996 RMK AO2 SLP144 T01830128 53003
SNA,2023-06-02 03:53,KSNA 020353Z 24003KT 10SM FEW025 BKN044 18/13 A2996 RMK AO2 SLP145 T01780128
SNA,2023-06-02 04:53,KSNA 020453Z 25003KT 10SM BKN044 18/13 A2997 RMK AO2 SLP147 T01780128
SNA,2023-06-02 05:50,KSNA 020550Z 26003KT 10SM FEW025 BKN043 17/13 A2996 RMK AO2 LAST
SNA,2023-06-02 05:50,KSNA 020550Z AUTO 26002KT 10SM FEW025 BKN043 17/13 A2996 RMK T01700130  LAST MADISHF
SNA,2023-06-02 06:53,KSNA 020653Z AUTO 00000KT 10SM BKN026 OVC041 17/13 A2996 RMK AO2 SLP144 T01720128
SNA,2023-06-02 07:53,KSNA 020753Z AUTO 00000KT 10SM BKN027 OVC040 17/13 A2995 RMK AO2 SLP143 T01720128 402000150
SNA,2023-06-02 08:53,KSNA 020853Z AUTO 29003KT 10SM OVC040 17/13 A2995 RMK AO2 SLP142 T01720128 56003
SNA,2023-06-02 09:53,KSNA 020953Z AUTO 26004KT 10SM FEW031 OVC039 17/13 A2995 RMK AO2 SLP141 T01720128
SNA,2023-06-02 10:53,KSNA 021053Z AUTO VRB04KT 10SM OVC040 17/12 A2995 RMK AO2 SLP140 T01720122
SNA,2023-06-02 11:53,KSNA 021153Z AUTO 00000KT 10SM FEW019 OVC040 17/13 A2995 RMK AO2 SLP143 T01720128 10172 20172 53001
SNA,2023-06-02 12:53,KSNA 021253Z 25003KT 10SM SCT021 BKN025 OVC042 17/12 A2997 RMK AO2 SLP147 T01720122
SNA,2023-06-02 13:53,KSNA 021353Z 00000KT 9SM SCT023 OVC041 17/12 A2998 RMK AO2 SLP151 T01720117
SNA,2023-06-02 14:53,KSNA 021453Z VRB03KT 9SM FEW025 OVC041 18/12 A2998 RMK AO2 SLP153 T01830122 51010
SNA,2023-06-02 15:53,KSNA 021553Z 00000KT 10SM BKN022 OVC041 18/12 A2999 RMK AO2 SLP155 T01830122
SNA,2023-06-02 16:53,KSNA 021653Z VRB03KT 10SM SCT023 OVC040 20/12 A2998 RMK AO2 SLP151 T02000122
SNA,2023-06-02 17:53,KSNA 021753Z 00000KT 10SM SCT026 BKN039 21/12 A2998 RMK AO2 SLP150 T02060117 10206 20167 58002
SNA,2023-06-02 18:53,KSNA 021853Z 21008KT 10SM FEW029 OVC036 21/12 A2998 RMK AO2 SLP151 T02060122
SNA,2023-06-02 19:53,KSNA 021953Z 22007KT 10SM FEW023 SCT028 OVC037 21/13 A2998 RMK AO2 SLP150 T02110128
SNA,2023-06-02 20:53,KSNA 022053Z 22009G15KT 10SM FEW023 BKN028 BKN038 21/13 A2997 RMK AO2 SLP148 T02110128 58002
SNA,2023-06-02 21:53,KSNA 022153Z VRB06KT 10SM FEW026 SCT036 21/13 A2997 RMK AO2 SLP146 T02110128
SNA,2023-06-02 22:53,KSNA 022253Z VRB06KT 10SM FEW036 21/13 A2995 RMK AO2 SLP139 T02110128
SNA,2023-06-02 23:53,KSNA 022353Z 26007KT 10SM FEW036 21/12 A2993 RMK AO2 SLP135 T02110122 10217 20200 58013
SNA,2023-06-03 00:53,KSNA 030053Z 25006KT 10SM CLR 21/12 A2993 RMK AO2 SLP134 T02060122
SNA,2023-06-03 01:53,KSNA 030153Z 24007KT 10SM FEW030 19/12 A2994 RMK AO2 SLP139 T01940122
SNA,2023-06-03 02:53,KSNA 030253Z 28007KT 10SM FEW024 18/12 A2996 RMK AO2 SLP143 T01830122 53008
SNA,2023-06-03 03:53,KSNA 030353Z 25005KT 10SM FEW035 18/12 A2997 RMK AO2 SLP147 T01780122
SNA,2023-06-03 04:53,KSNA 030453Z 00000KT 10SM FEW035 17/12 A2997 RMK AO2 SLP149 T01720122
SNA,2023-06-03 05:53,KSNA 030553Z COR 00000KT 10SM FEW035 17/12 A2997 RMK AO2 SLP149 LAST T01720122 10211 20172 51006
SNA,2023-06-03 06:53,KSNA 030653Z AUTO 00000KT 10SM CLR 17/12 A2996 RMK AO2 SLP145 T01720122
SNA,2023-06-03 07:53,KSNA 030753Z AUTO 00000KT 10SM CLR 17/12 A2995 RMK AO2 SLP139 T01670122 402170167
SNA,2023-06-03 08:53,KSNA 030853Z AUTO 00000KT 10SM CLR 16/12 A2993 RMK AO2 SLP133 T01610122 58016
SNA,2023-06-03 09:53,KSNA 030953Z AUTO 00000KT 10SM CLR 16/13 A2993 RMK AO2 SLP133 T01610128
SNA,2023-06-03 10:53,KSNA 031053Z AUTO 00000KT 10SM CLR 16/12 A2991 RMK AO2 SLP129 T01560122
SNA,2023-06-03 11:53,KSNA 031153Z AUTO 00000KT 10SM CLR 15/12 A2991 RMK AO2 SLP128 T01500117 10178 20150 58006
SNA,2023-06-03 12:53,KSNA 031253Z 00000KT 10SM FEW025 15/12 A2992 RMK AO2 SLP132 T01500117
SNA,2023-06-03 13:53,KSNA 031353Z 03003KT 10SM SCT017 16/12 A2994 RMK AO2 SLP138 T01610117
SNA,2023-06-03 14:53,KSNA 031453Z 00000KT 10SM SCT017 BKN027 17/13 A2995 RMK AO2 SLP140 T01720128 51012
SNA,2023-06-03 15:53,KSNA 031553Z 00000KT 10SM BKN020 18/12 A2995 RMK AO2 SLP142 T01780122
SNA,2023-06-03 16:53,KSNA 031653Z 21005KT 10SM BKN020 18/13 A2996 RMK AO2 SLP144 T01830128
SNA,2023-06-03 17:53,KSNA 031753Z COR VRB03KT 10SM OVC022 19/13 A2996 RMK AO2 SLP145 T01890128 10194 20150 51005
SNA,2023-06-03 18:53,KSNA 031853Z 16006KT 10SM BKN023 21/13 A2995 RMK AO2 SLP141 T02060128
