station,valid,vsby,skyl1,metar
MCO,2023-06-01 14:53,10.00,2600.00,KMCO 011453Z 06007G18KT 10SM SCT026TCU SCT060 SCT250 29/21 A2990 RMK AO2 SLP123 TCU N NE VCSH NE T02890211 50005
MCO,2023-06-01 15:53,10.00,2800.00,KMCO 011553Z 08011KT 10SM SCT028TCU SCT090 BKN250 29/22 A2991 RMK AO2 SLP125 TCU ALQDS VCSH ALQDS T02890222
MCO,2023-06-01 16:53,10.00,3400.00,KMCO 011653Z 07016G21KT 10SM SCT034CB BKN090 BKN250 29/22 A2990 RMK AO2 SLP123 CB N-SE STNRY VCSH NE-SE T02940222
MCO,2023-06-01 17:53,10.00,2000.00,KMCO 011753Z 09013KT 10SM FEW020 SCT039CB SCT075 BKN250 28/21 A2989 RMK AO2 LTG DSNT E AND W TSE01B03E40 SLP119 TS DSIPTD CB ALQDS STNRY VCSH N NE-SE T02780206 10300 20239 58004
MCO,2023-06-01 18:53,10.00,6000.00,KMCO 011853Z 08011G20KT 10SM FEW060 SCT120 SCT250 30/21 A2987 RMK AO2 LTG DSNT S-NW SLP114 T03000211
MCO,2023-06-01 19:53,10.00,2500.00,KMCO 011953Z 06012G19KT 10SM FEW025 BKN035 BKN120 BKN250 28/21 A2985 RMK AO2 LTG DSNT SE SLP105 CB DSNT E-SE T02830206
MCO,2023-06-01 20:53,10.00,2500.00,KMCO 012053Z 07015KT 10SM FEW025 FEW070 SCT120 BKN250 29/22 A2984 RMK AO2 RAB1956E09 SLP102 CB DSNT E SW P0000 60000 T02890217 56018
MCO,2023-06-01 21:53,10.00,2900.00,KMCO 012153Z 07015KT 10SM FEW029 SCT150 BKN250 28/21 A2984 RMK AO2 SLP102 T02780211
MCO,2023-06-01 22:53,10.00,3200.00,KMCO 012253Z 08014KT 10SM FEW032 SCT140 BKN250 27/21 A2985 RMK AO2 SLP106 T02670206
MCO,2023-06-01 23:53,10.00,4500.00,KMCO 012353Z 08008KT 10SM FEW045 SCT140 SCT180 BKN240 26/21 A2987 RMK AO2 RAB18E34 SLP113 P0000 60000 T02610206 10306 20261 53011
MCO,2023-06-02 00:53,10.00,4500.00,KMCO 020053Z 08006KT 10SM FEW045 FEW140 FEW180 BKN250 26/21 A2986 RMK AO2 SLP111 T02560206
MCO,2023-06-02 01:53,10.00,2500.00,KMCO 020153Z 08009KT 10SM FEW025 FEW130 BKN150 BKN250 25/21 A2986 RMK AO2 SLP110 T02500206
MCO,2023-06-02 02:53,10.00,2200.00,KMCO 020253Z 01011KT 10SM FEW022 SCT250 24/21 A2987 RMK AO2 SLP114 T02440211 53001
MCO,2023-06-02 03:53,10.00,3000.00,KMCO 020353Z 04007KT 10SM FEW030 FEW250 24/21 A2987 RMK AO2 SLP114 T02440211
MCO,2023-06-02 04:53,10.00,6000.00,KMCO 020453Z 36008KT 10SM FEW060 FEW250 23/21 A2986 RMK AO2 SLP108 T02330211 403060228
MCO,2023-06-02 05:53,10.00,25000.00,KMCO 020553Z 02010KT 10SM FEW250 23/21 A2984 RMK AO2 SLP101 T02330211 10261 20228 58013
MCO,2023-06-02 06:53,10.00,3000.00,KMCO 020653Z 04008KT 10SM FEW030 23/21 A2982 RMK AO2 SLP095 T02280206
MCO,2023-06-02 07:53,10.00,3000.00,KMCO 020753Z 01007KT 10SM FEW030 23/21 A2981 RMK AO2 SLP093 T02280211
MCO,2023-06-02 08:53,10.00,25000.00,KMCO 020853Z 01007KT 10SM FEW250 23/21 A2980 RMK AO2 SLP090 T02280211 56011
MCO,2023-06-02 09:53,10.00,3000.00,KMCO 020953Z 01006KT 10SM FEW030 FEW060 FEW250 23/21 A2981 RMK AO2 SLP094 T02280211
MCO,2023-06-02 10:53,10.00,3000.00,KMCO 021053Z 02007KT 10SM FEW030 SCT060 SCT250 23/22 A2983 RMK AO2 SLP098 T02280217
