station,valid,vsby,skyl1,metar
MCI,2023-06-01 07:53,10.00,25000.00,KMCI 010753Z 17009KT 10SM BKN250 20/19 A2991 RMK AO2 SLP121 T02000189 $
MCI,2023-06-01 08:53,10.00,25000.00,KMCI 010853Z 16008KT 10SM BKN250 20/18 A2992 RMK AO2 SLP120 T02000183 56003 $
MCI,2023-06-01 09:53,10.00,5500.00,KMCI 010953Z 00000KT 10SM SCT055 BKN250 19/18 A2992 RMK AO2 SLP123 T01890178 $
MCI,2023-06-01 10:53,10.00,5500.00,KMCI 011053Z 15006KT 10SM SCT055 BKN250 18/18 A2993 RMK AO2 SLP126 T01830178 $
MCI,2023-06-01 11:53,7.00,5500.00,KMCI 011153Z 16004KT 7SM FEW055 FEW150 BKN250 19/18 A2995 RMK AO2 SLP134 70107 T01940183 10206 20183 53013
MCI,2023-06-01 12:53,9.00,15000.00,KMCI 011253Z COR 17007KT 9SM FEW150 BKN250 22/19 A2997 RMK AO2 SLP140 T02220194
MCI,2023-06-01 13:53,9.00,10000.00,KMCI 011353Z 20007KT 9SM FEW100 BKN250 24/19 A2998 RMK AO2 SLP143 T02390194
MCI,2023-06-01 14:53,9.00,5000.00,KMCI 011453Z 18005KT 9SM SCT050 BKN250 25/20 A2999 RMK AO2 SLP146 T02500200 51012
MCI,2023-06-01 15:53,9.00,6000.00,KMCI 011553Z 20009KT 9SM SCT060 BKN250 27/21 A2999 RMK AO2 SLP147 T02670206
MCI,2023-06-01 16:53,10.00,6000.00,KMCI 011653Z 19006KT 10SM SCT060 BKN250 27/19 A3000 RMK AO2 SLP149 T02720194
MCI,2023-06-01 17:53,10.00,4000.00,KMCI 011753Z 18009KT 10SM SCT040 BKN120 BKN250 28/21 A2999 RMK AO2 SLP144 T02780206 10283 20194 58001
MCI,2023-06-01 18:53,10.00,7000.00,KMCI 011853Z 18004KT 10SM FEW070 SCT100 BKN120 27/21 A2997 RMK AO2 RAB34E47 SLP138 P0000 T02720206
MCI,2023-06-01 19:53,10.00,4900.00,KMCI 011953Z 20005KT 10SM FEW049 SCT065 BKN250 28/20 A2995 RMK AO2 SLP130 T02830200
MCI,2023-06-01 20:53,10.00,5000.00,KMCI 012053Z 18011KT 10SM BKN050 BKN200 29/19 A2996 RMK AO2 LTG DSNT N AND NE SLP133 60000 T02890189 55011
MCI,2023-06-01 21:53,10.00,3900.00,KMCI 012153Z 20004KT 10SM SCT039 BKN080 BKN110 28/19 A2994 RMK AO2 LTG DSNT NE AND NW RAB29E52 SLP130 P0000 T02830194
