station,valid,metar
TPA,2023-06-01 18:53,KTPA 011853Z COR 09007KT 10SM SCT047 BKN080 32/21 A2984 RMK AO2 LTG DSNT S-NW SLP102 T03170206
TPA,2023-06-01 19:53,KTPA 011953Z 15007KT 100V190 10SM SCT049TCU BKN260 31/22 A2981 RMK AO2 LTG DSNT SE AND NW SLP094 TCU ALQDS T03110222
TPA,2023-06-01 20:53,KTPA 012053Z 25012G19KT 10SM TS FEW020 BKN035CB BKN260 28/22 A2982 RMK AO2 LTG DSNT ALQDS TSB24 SLP096 FRQ LTGICCG W-N TS W-N MOV NE CB DSNT SE VCSH W-N T02780222 55015
TPA,2023-06-01 21:53,KTPA 012153Z 04012G22KT 10SM -TSRA FEW014 BKN035CB BKN260 22/21 A2985 RMK AO2 PK WND 33028/2105 WSHFT 2131 LTG DSNT NW-E RAB34 SLP109 OCNL LTGIC OHD TS OHD MOV SE P0001 T02170206 $
TPA,2023-06-01 22:53,KTPA 012253Z 05007G16KT 010V070 10SM -TSRA FEW014 BKN035CB BKN250 22/21 A2985 RMK AO2 LTG DSNT N AND NE SLP108 OCNL LTGIC VC N-S TS VC N-S MOV SE P0027 T02170206 $
TPA,2023-06-01 23:53,KTPA 012353Z 08007KT 10SM -RA SCT050 BKN120 BKN260 23/21 A2984 RMK AO2 RAE01B06 TSE00 SLP105 CB DSNT SE-S P0001 60029 T02330211 10322 20217 58003 $
TPA,2023-06-02 00:53,KTPA 020053Z 09005KT 10SM FEW085 SCT120 SCT260 24/21 A2985 RMK AO2 RAE04 SLP108 P0001 T02390211 $
TPA,2023-06-02 01:53,KTPA 020153Z 08004KT 10SM SCT120 24/21 A2986 RMK AO2 SLP109 T02440211 $
TPA,2023-06-02 02:53,KTPA 020253Z 06003KT 10SM FEW120 24/21 A2986 RMK AO2 SLP112 60001 T02390211 53006 $
TPA,2023-06-02 03:53,KTPA 020353Z VRB04KT 10SM FEW250 24/22 A2986 RMK AO2 SLP110 T02390217 $
TPA,2023-06-02 04:53,KTPA 020453Z 08005KT 10SM FEW015 FEW250 23/22 A2985 RMK AO2 SLP107 T02330217 403220217 $
TPA,2023-06-02 05:53,KTPA 020553Z 03003KT 10SM SCT025 SCT250 23/22 A2984 RMK AO2 SLP103 60001 T02280217 10244 20228 58009 $
TPA,2023-06-02 06:53,KTPA 020653Z VRB05KT 10SM FEW029 BKN250 23/21 A2981 RMK AO2 SLP095 T02280211 $
TPA,2023-06-02 07:53,KTPA 020753Z 06005KT 10SM FEW029 SCT250 23/21 A2981 RMK AO2 SLP093 T02280211 $
TPA,2023-06-02 08:53,KTPA 020853Z 04005KT 10SM FEW006 SCT029 SCT250 22/21 A2980 RMK AO2 SLP092 T02220211 58003 $
TPA,2023-06-02 09:53,KTPA 020953Z VRB04KT 10SM SCT006 BKN250 22/21 A2981 RMK AO2 SLP094 T02220211
TPA,2023-06-02 10:53,KTPA 021053Z 04005KT 10SM BKN005 22/21 A2982 RMK AO2 SLP096 T02220211
