OP_CARRIER,DEP_TIME,DEP_DELAY,ORIGIN,DEST,DISTANCE,CARRIER_DELAY_Prediction
WN,2024-07-22T10:35:00Z,0,KMCO,KAUS,1042,24.142047882080078
WN,2024-07-22T10:40:00Z,0,KMSP,KAUS,1054,24.181549072265625
F9,2024-07-22T11:01:00Z,0,KDEN,KAUS,818,24.34134292602539
WN,2024-07-22T10:50:00Z,0,KIND,KAUS,959,19.9074649810791
OO,2024-07-22T10:10:00Z,0,KRDU,KAUS,1161,27.71873664855957
WN,2024-07-22T12:15:00Z,0,KHRL,KAUS,331,24.323684692382812
WN,2024-07-22T11:20:00Z,0,KDEN,KAUS,818,24.36318588256836
AA,2024-07-22T12:10:00Z,0,KDFW,KAUS,191,24.646268844604492
UA,2024-07-22T12:30:00Z,0,KIAH,KAUS,140,32.61006546020508
WN,2024-07-22T10:15:00Z,0,KBWI,KAUS,1418,26.904218673706055
WN,2024-07-22T12:00:00Z,0,KELP,KAUS,548,24.241924285888672
MQ,2024-07-22T11:29:00Z,0,KIND,KAUS,920,24.159706115722656
WN,2024-07-22T13:00:00Z,0,KHOU,KAUS,161,24.317672729492188
NK,2024-07-22T11:05:00Z,0,KFLL,KAUS,1105,25.03061294555664
OO,2024-07-22T13:00:00Z,0,KDFW,KAUS,191,32.469383239746094
OO,2024-07-22T12:05:00Z,0,KBNA,KAUS,756,32.424339294433594
WN,2024-07-22T12:15:00Z,0,KPHX,KAUS,871,24.34992027282715
DL,2024-07-22T12:15:00Z,0,KATL,KAUS,812,24.484560012817383
MQ,2024-07-22T11:30:00Z,0,KRDU,KAUS,1161,24.288604736328125
OO,2024-07-22T12:20:00Z,0,KCVG,KAUS,959,32.10503005981445
WN,2024-07-22T12:10:00Z,0,KLAS,KAUS,1089,24.142047882080078
DL,2024-07-22T10:35:00Z,0,KBOS,KAUS,1698,26.5728759765625
WN,2024-07-22T12:45:00Z,0,KBNA,KAUS,756,24.22711181640625
WN,2024-07-22T14:00:00Z,0,KDAL,KAUS,217,24.323684692382812
AA,2024-07-22T13:55:00Z,0,KDFW,KAUS,191,24.646268844604492
DL,2024-07-22T11:00:00Z,0,KJFK,KAUS,1521,26.5728759765625
WN,2024-07-22T12:35:00Z,0,KMDW,KAUS,974,25.62802505493164
WN,2024-07-22T13:20:00Z,0,KABQ,KAUS,656,24.466711044311523
UA,2024-07-22T12:20:00Z,0,KORD,KAUS,979,24.159706115722656
UA,2024-07-22T11:15:00Z,0,KEWR,KAUS,1503,26.5728759765625
G4,2024-07-22T13:00:00Z,0,KIND,KAUS,960,24.159706115722656
WN,2024-07-22T13:20:00Z,0,KATL,KAUS,882,24.136035919189453
WN,2024-07-22T13:05:00Z,0,KMCO,KAUS,1042,24.136035919189453
UA,2024-07-22T12:24:00Z,0,KIAD,KAUS,1296,26.340452194213867
MQ,2024-07-22T13:40:00Z,0,KBNA,KAUS,756,24.40001106262207
AA,2024-07-22T11:59:00Z,0,KJFK,KAUS,1521,26.73458480834961
AA,2024-07-22T12:40:00Z,0,KMIA,KAUS,1103,24.275901794433594
DL,2024-07-22T12:55:00Z,0,KDTW,KAUS,1150,24.12020492553711
G4,2024-07-22T13:15:00Z,0,KLAS,KAUS,1133,25.967437744140625
WN,2024-07-22T14:00:00Z,0,KDEN,KAUS,777,24.317672729492188
AA,2024-07-22T15:10:00Z,0,KDFW,KAUS,191,24.606767654418945
WN,2024-07-22T13:10:00Z,0,KLAX,KAUS,1241,26.344118118286133
AA,2024-07-22T13:20:00Z,0,KCLT,KAUS,1032,24.232629776000977
AA,2024-07-22T13:30:00Z,0,KORD,KAUS,979,24.236400604248047
RV,2024-07-22T13:00:00Z,0,CYYZ,KAUS,1360,26.578887939453125
YV,2024-07-22T15:22:00Z,0,KIAH,KAUS,140,29.250286102294922
UA,2024-07-22T14:20:00Z,0,KDEN,KAUS,777,24.484560012817383
WN,2024-07-22T13:15:00Z,0,KSMF,KAUS,1513,28.453975677490234
WN,2024-07-22T13:40:00Z,0,KFLL,KAUS,1105,24.142047882080078
WN,2024-07-22T13:35:00Z,0,KSAN,KAUS,1206,24.136035919189453
WN,2024-07-22T15:40:00Z,0,KDAL,KAUS,217,24.36318588256836
G4,2024-07-22T14:17:00Z,0,KSDF,KAUS,947,24.114192962646484
DL,2024-07-22T14:18:00Z,0,KATL,KAUS,812,24.484560012817383
WN,2024-07-22T13:55:00Z,0,KRDU,KAUS,1206,24.12495994567871
AA,2024-07-22T12:00:00Z,2040,KBOS,KAUS,1698,1471.8941650390625
DL,2024-07-22T14:07:00Z,0,KMSP,KAUS,1044,25.249004364013672
DL,2024-07-22T13:44:00Z,0,KLAX,KAUS,1241,26.367788314819336
WN,2024-07-22T15:00:00Z,0,KSTL,KAUS,742,24.36318588256836
WN,2024-07-22T14:25:00Z,0,KLAS,KAUS,1114,24.181549072265625
WN,2024-07-22T15:40:00Z,0,KMSY,KAUS,444,24.317672729492188
UA,2024-07-22T14:15:00Z,0,KORD,KAUS,979,24.114192962646484
AA,2024-07-22T13:37:00Z,0,KPHL,KAUS,1430,26.689071655273438
WN,2024-07-22T14:00:00Z,0,KBWI,KAUS,1397,26.904218673706055
AA,2024-07-22T16:30:00Z,0,KDFW,KAUS,191,24.606767654418945
WN,2024-07-22T14:30:00Z,0,KBUR,KAUS,1292,26.64023208618164
WN,2024-07-22T15:30:00Z,0,KDEN,KAUS,777,24.36318588256836
AS,2024-07-22T14:00:00Z,0,KSFO,KAUS,1566,26.20214080810547
WN,2024-07-22T15:05:00Z,0,KCMH,KAUS,1121,24.136035919189453
OO,2024-07-22T15:35:00Z,0,KBNA,KAUS,756,32.38483428955078
WN,2024-07-22T14:55:00Z,0,KLGB,KAUS,1252,26.542537689208984
WN,2024-07-22T15:20:00Z,0,KSLC,KAUS,1117,21.102455139160156
AA,2024-07-22T15:00:00Z,0,KLAX,KAUS,1241,26.483983993530273
B6,2024-07-22T14:00:00Z,0,KBOS,KAUS,1698,28.50929069519043
