"ORIGIN"
"ABQ"
"AMA"
"ASE"
"ATL"
"AVL"
"BNA"
"BOS"
"BUR"
"BWI"
"BZN"
"CHS"
"CLT"
"CMH"
"CVG"
"DAL"
"DCA"
"DEN"
"DFW"
"DSM"
"DTW"
"ECP"
"ELP"
"EWR"
"FLL"
"FSD"
"GRR"
"HNL"
"HOU"
"HRL"
"IAD"
"IAH"
"IND"
"JAX"
"JFK"
"LAS"
"LAX"
"LBB"
"LGB"
"MAF"
"MCI"
"MCO"
"MDW"
"MEM"
"MIA"
"MSP"
"MSY"
"OAK"
"OKC"
"OMA"
"ONT"
"ORD"
"PDX"
"PHL"
"PHX"
"PIT"
"PNS"
"PVU"
"RDU"
"RNO"
"SAN"
"SDF"
"SEA"
"SFB"
"SFO"
"SJC"
"SLC"
"SMF"
"SNA"
"SRQ"
"STL"
"TPA"
"TUL"
"TYS"
"VPS"
